"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","391","Время отклика кнопки Login на мобильном","tests.mobile","Tue Jun 23 10:58:34 UTC 2026","passed","Tue Jun 23 10:58:35 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","1247","Скриншоты с префиксом устройства: TC_010_<step>_<device>.png","tests.mobile","Tue Jun 23 10:58:10 UTC 2026","passed","Tue Jun 23 10:58:11 UTC 2026","TestCrossDevice","test_cross_device","",""
"","493","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Tue Jun 23 11:00:03 UTC 2026","passed","Tue Jun 23 11:00:04 UTC 2026","","test_cross_browser","",""
"","434","Корзина пуста при открытии без добавления товаров","tests.web","Tue Jun 23 10:59:40 UTC 2026","passed","Tue Jun 23 10:59:41 UTC 2026","TestCart","test_cart","",""
"","284","Корректная работа при переключении сеть → offline → сеть","tests.mobile","Tue Jun 23 10:58:39 UTC 2026","passed","Tue Jun 23 10:58:39 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","3504","Потребление памяти не увеличивается более чем на 20% при открытии 20 вкладок","tests.web","Tue Jun 23 11:00:27 UTC 2026","passed","Tue Jun 23 11:00:30 UTC 2026","TestPerformance","test_performance","",""
"","399","Оптимизация изображений для мобильных","tests.mobile","Tue Jun 23 10:58:42 UTC 2026","passed","Tue Jun 23 10:58:43 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","359","Пользователь не может войти с невалидными данными","tests.web","Tue Jun 23 10:59:30 UTC 2026","passed","Tue Jun 23 10:59:30 UTC 2026","TestLogin","test_auth","",""
"","5385","Авторизация проходит успешно при эмуляции 3G сети","tests.web","Tue Jun 23 11:00:20 UTC 2026","passed","Tue Jun 23 11:00:26 UTC 2026","TestPerformance","test_performance","",""
"","264","Страницы с путями /, /inventory, /cart, /checkout-*, /complete не имеют горизонтальной прокрутки","tests.mobile","Tue Jun 23 10:58:50 UTC 2026","passed","Tue Jun 23 10:58:50 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","1082","Замер First Contentful Paint (FCP) на мобильном","tests.mobile","Tue Jun 23 10:58:40 UTC 2026","passed","Tue Jun 23 10:58:41 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","1414","Скриншоты с префиксом устройства: TC_010_<step>_<device>.png","tests.mobile","Tue Jun 23 10:58:14 UTC 2026","passed","Tue Jun 23 10:58:15 UTC 2026","TestCrossDevice","test_cross_device","",""
"","642","Возврат по кнопке Назад браузера работает корректно","tests.mobile","Tue Jun 23 10:59:08 UTC 2026","passed","Tue Jun 23 10:59:09 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","1604","Корзина не изолирована между пользователями на одном устройстве","tests.web","Tue Jun 23 10:59:42 UTC 2026","passed","Tue Jun 23 10:59:44 UTC 2026","TestCart","test_cart","",""
"","12","На странице товаров отображается 6 товаров","tests.web","Tue Jun 23 11:00:06 UTC 2026","passed","Tue Jun 23 11:00:06 UTC 2026","TestInventory","test_inventory","",""
"","366","Пользователь не может войти с невалидными данными","tests.web","Tue Jun 23 10:59:28 UTC 2026","passed","Tue Jun 23 10:59:29 UTC 2026","TestLogin","test_auth","",""
"","1470","Mobile E2E: login → add to cart → checkout","tests.mobile","Tue Jun 23 10:58:25 UTC 2026","passed","Tue Jun 23 10:58:26 UTC 2026","TestMobile","test_mobile_e2e","",""
"","47","Проверка, что сайт не требует зума/горизонтального скролла","tests.mobile","Tue Jun 23 10:58:45 UTC 2026","passed","Tue Jun 23 10:58:45 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","713","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Tue Jun 23 11:00:00 UTC 2026","passed","Tue Jun 23 11:00:01 UTC 2026","","test_cross_browser","",""
"","1327","Проверка отображения при device_scale_factor (2x, 3x)","tests.mobile","Tue Jun 23 10:57:48 UTC 2026","passed","Tue Jun 23 10:57:49 UTC 2026","TestCrossDevice","test_cross_device","",""
"","807","Потребление памяти при длительной сессии","tests.mobile","Tue Jun 23 10:58:37 UTC 2026","passed","Tue Jun 23 10:58:38 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","239","На странице подтверждения заказа отображается корректное количество товаров и итоговая сумма (1 товар)","tests.web","Tue Jun 23 10:59:52 UTC 2026","passed","Tue Jun 23 10:59:52 UTC 2026","TestCheckout","test_checkout","",""
"","333","Навигация с клавиатуры (Tab) работает на мобильных","tests.mobile","Tue Jun 23 10:59:07 UTC 2026","passed","Tue Jun 23 10:59:07 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","510","Пользователь может удалить товар из корзины","tests.web","Tue Jun 23 10:59:37 UTC 2026","passed","Tue Jun 23 10:59:38 UTC 2026","TestCart","test_cart","",""
"","525","Проверка отображения при locale=ru-RU, timezone=Europe/Moscow","tests.mobile","Tue Jun 23 10:57:52 UTC 2026","passed","Tue Jun 23 10:57:53 UTC 2026","TestCrossDevice","test_cross_device","",""
"","830","Полный цикл заказа товара","tests.web","Tue Jun 23 11:00:04 UTC 2026","passed","Tue Jun 23 11:00:05 UTC 2026","TestCheckout","test_e2e","",""
"","387","Кэширование статических ресурсов","tests.mobile","Tue Jun 23 10:58:36 UTC 2026","passed","Tue Jun 23 10:58:36 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","371","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Tue Jun 23 10:59:53 UTC 2026","passed","Tue Jun 23 10:59:54 UTC 2026","","test_cross_browser","",""
"","1826","Параллельный запуск на 3 устройствах: сессии изолированы, тесты не влияют друг на друга","tests.mobile","Tue Jun 23 10:58:08 UTC 2026","passed","Tue Jun 23 10:58:09 UTC 2026","TestCrossDevice","test_cross_device","",""
"","594","Ошибки валидации видны и озвучиваются скринридером","tests.mobile","Tue Jun 23 10:59:03 UTC 2026","passed","Tue Jun 23 10:59:04 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","318","Поля ввода имеют понятные placeholder","tests.mobile","Tue Jun 23 10:59:02 UTC 2026","passed","Tue Jun 23 10:59:03 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","431","Пользователь может добавить один товар в корзину","tests.web","Tue Jun 23 10:59:34 UTC 2026","passed","Tue Jun 23 10:59:35 UTC 2026","TestCart","test_cart","",""
"","6637","Загрузка главной страницы при эмуляции 3G","tests.mobile","Tue Jun 23 10:58:27 UTC 2026","passed","Tue Jun 23 10:58:34 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","478","Двойной тап не вызывает зум страницы","tests.mobile","Tue Jun 23 10:58:59 UTC 2026","passed","Tue Jun 23 10:59:00 UTC 2026","TestMobileTouch","test_mobile_touch","",""
"","496","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Tue Jun 23 11:00:02 UTC 2026","passed","Tue Jun 23 11:00:02 UTC 2026","","test_cross_browser","",""
"","983","Запуск на эмуляции iPhone 14 Pro, Pixel 7, iPad Mini","tests.mobile","Tue Jun 23 10:57:44 UTC 2026","passed","Tue Jun 23 10:57:45 UTC 2026","TestCrossDevice","test_cross_device","",""
"","518","Бэкенд получает мобильный UA: ответ содержит мобильные классы и структуру","tests.mobile","Tue Jun 23 10:58:02 UTC 2026","passed","Tue Jun 23 10:58:02 UTC 2026","TestCrossDevice","test_cross_device","",""
"","744","На странице товаров отображаются товары с валидными изображениями","tests.web","Tue Jun 23 11:00:09 UTC 2026","passed","Tue Jun 23 11:00:09 UTC 2026","TestInventory","test_inventory","",""
"","211","Кнопка Cancel на шаге оформления заказа возвращает пользователя в корзину","tests.web","Tue Jun 23 10:59:49 UTC 2026","passed","Tue Jun 23 10:59:49 UTC 2026","TestCheckout","test_checkout","",""
"","124","Загрузка страницы inventory не превышает 3 секунды","tests.web","Tue Jun 23 11:00:17 UTC 2026","passed","Tue Jun 23 11:00:17 UTC 2026","TestPerformance","test_performance","",""
"","484","test_check_mobile_003[mobile_page0]","SauceDemo mobile","Tue Jun 23 10:58:23 UTC 2026","passed","Tue Jun 23 10:58:23 UTC 2026","TestCheckoutMobile","test_l42_mobile","",""
"","361","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Tue Jun 23 10:59:54 UTC 2026","passed","Tue Jun 23 10:59:55 UTC 2026","","test_cross_browser","",""
"","492","Контраст текста/фона соответствует WCAG 2.1 AA (≥ 4.5:1)","tests.mobile","Tue Jun 23 10:59:06 UTC 2026","passed","Tue Jun 23 10:59:06 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","366","Пользователь может войти с валидными данными","tests.web","Tue Jun 23 10:59:26 UTC 2026","passed","Tue Jun 23 10:59:26 UTC 2026","TestLogin","test_auth","",""
"","1493","Проверка, что товары прокручиваются без залипаний","tests.mobile","Tue Jun 23 10:58:57 UTC 2026","passed","Tue Jun 23 10:58:59 UTC 2026","TestMobileTouch","test_mobile_touch","",""
"","63","При клике по изображению товара открывается подробная страница товара","tests.web","Tue Jun 23 11:00:14 UTC 2026","passed","Tue Jun 23 11:00:14 UTC 2026","TestInventory","test_inventory","",""
"","159","После удаления товара через кнопку Remove на детальной странице корзина пуста","tests.web","Tue Jun 23 11:00:15 UTC 2026","passed","Tue Jun 23 11:00:15 UTC 2026","TestInventory","test_inventory","",""
"","302","На странице подтверждения заказа отображается корректное количество товаров и итоговая сумма (2 товара)","tests.web","Tue Jun 23 10:59:53 UTC 2026","passed","Tue Jun 23 10:59:53 UTC 2026","TestCheckout","test_checkout","",""
"","38","На странице товаров отображаются товары с определенными ценами","tests.web","Tue Jun 23 11:00:08 UTC 2026","passed","Tue Jun 23 11:00:08 UTC 2026","TestInventory","test_inventory","",""
"","53","При сортировке товаров по возрастанию цены товары располагаются от меньшей к большей цене","tests.web","Tue Jun 23 11:00:10 UTC 2026","passed","Tue Jun 23 11:00:10 UTC 2026","TestInventory","test_inventory","",""
"","664","Контраст текста/фона соответствует WCAG 2.1 AA (≥ 4.5:1)","tests.mobile","Tue Jun 23 10:59:05 UTC 2026","passed","Tue Jun 23 10:59:05 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","5377","Пользователь может войти с валидными данными","tests.web","Tue Jun 23 10:59:19 UTC 2026","passed","Tue Jun 23 10:59:24 UTC 2026","TestLogin","test_auth","",""
"","399","test_check_mobile_003[mobile_page1]","SauceDemo mobile","Tue Jun 23 10:58:24 UTC 2026","passed","Tue Jun 23 10:58:24 UTC 2026","TestCheckoutMobile","test_l42_mobile","",""
"","1065","Скриншоты с префиксом устройства: TC_010_<step>_<device>.png","tests.mobile","Tue Jun 23 10:58:12 UTC 2026","passed","Tue Jun 23 10:58:13 UTC 2026","TestCrossDevice","test_cross_device","",""
"","937","Эмуляция viewport: width: 667, height: 375","tests.mobile","Tue Jun 23 10:58:51 UTC 2026","passed","Tue Jun 23 10:58:52 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","1821","Параллельный запуск на 3 устройствах: сессии изолированы, тесты не влияют друг на друга","tests.mobile","Tue Jun 23 10:58:03 UTC 2026","passed","Tue Jun 23 10:58:05 UTC 2026","TestCrossDevice","test_cross_device","",""
"","734","Пользователь может войти с валидными данными, если до этого 5 раз пытался войти, используя неверный пароль","tests.web","Tue Jun 23 10:59:32 UTC 2026","passed","Tue Jun 23 10:59:33 UTC 2026","TestLogin","test_auth","",""
"","302","Кнопки Add to cart кликабельны на десктопе и мобильном устройстве","tests.mobile","Tue Jun 23 10:59:15 UTC 2026","passed","Tue Jun 23 10:59:15 UTC 2026","TestNavigation","test_navigation_ui","",""
"","629","Быстрые последовательные тапы не дублируют действия","tests.mobile","Tue Jun 23 10:59:01 UTC 2026","passed","Tue Jun 23 10:59:02 UTC 2026","TestMobileTouch","test_mobile_touch","",""
"","369","Пользователь не может войти с невалидными данными","tests.web","Tue Jun 23 10:59:27 UTC 2026","passed","Tue Jun 23 10:59:27 UTC 2026","TestLogin","test_auth","",""
"","502","Пользователь может добавить несколько товаров в корзину","tests.web","Tue Jun 23 10:59:35 UTC 2026","passed","Tue Jun 23 10:59:36 UTC 2026","TestCart","test_cart","",""
"","364","Время отклика при авторизации не превышает 1 секунды","tests.web","Tue Jun 23 11:00:17 UTC 2026","passed","Tue Jun 23 11:00:18 UTC 2026","TestPerformance","test_performance","",""
"","198","Пользователь не может продолжить оформление заказа, если поле First Name, Last Name, Postal Code не заполнено","tests.web","Tue Jun 23 10:59:46 UTC 2026","passed","Tue Jun 23 10:59:46 UTC 2026","TestCheckout","test_checkout","",""
"","208","Пользователь может продолжить оформление заказа, если заполнены поля First Name, Last Name, Postal Code","tests.web","Tue Jun 23 10:59:48 UTC 2026","passed","Tue Jun 23 10:59:48 UTC 2026","TestCheckout","test_checkout","",""
"","763","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Tue Jun 23 10:59:57 UTC 2026","passed","Tue Jun 23 10:59:58 UTC 2026","","test_cross_browser","",""
"","379","Пользователь может войти с валидными данными","tests.web","Tue Jun 23 10:59:25 UTC 2026","passed","Tue Jun 23 10:59:25 UTC 2026","TestLogin","test_auth","",""
"","307","Отсутствие 'мигания' контента при загрузке","tests.mobile","Tue Jun 23 10:58:41 UTC 2026","passed","Tue Jun 23 10:58:42 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","48","При сортировке товаров по имени товары сортируются по алфавиту","tests.web","Tue Jun 23 11:00:12 UTC 2026","passed","Tue Jun 23 11:00:12 UTC 2026","TestInventory","test_inventory","",""
"","1546","Проверка отображения при device_scale_factor (2x, 3x)","tests.mobile","Tue Jun 23 10:57:50 UTC 2026","passed","Tue Jun 23 10:57:52 UTC 2026","TestCrossDevice","test_cross_device","",""
"","460","Нет 'мёртвых' зон (элементы, на которые нельзя тапнуть)","tests.mobile","Tue Jun 23 10:59:11 UTC 2026","passed","Tue Jun 23 10:59:11 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","2363","Запуск на эмуляции iPhone 14 Pro, Pixel 7, iPad Mini","tests.mobile","Tue Jun 23 10:57:40 UTC 2026","passed","Tue Jun 23 10:57:43 UTC 2026","TestCrossDevice","test_cross_device","",""
"","446","Элементы не перекрывают друг друга при тапе","tests.mobile","Tue Jun 23 10:59:00 UTC 2026","passed","Tue Jun 23 10:59:01 UTC 2026","TestMobileTouch","test_mobile_touch","",""
"","374","Пользователь может войти с валидными данными","tests.web","Tue Jun 23 10:59:18 UTC 2026","passed","Tue Jun 23 10:59:18 UTC 2026","TestLogin","test_auth","",""
"","302","Нет блокирующих запросов к недоступным доменам","tests.mobile","Tue Jun 23 10:58:35 UTC 2026","passed","Tue Jun 23 10:58:35 UTC 2026","TestMobilePerformance","test_mobile_perf","",""
"","38","На странице товаров отображаются товары с определенными названиями","tests.web","Tue Jun 23 11:00:07 UTC 2026","passed","Tue Jun 23 11:00:07 UTC 2026","TestInventory","test_inventory","",""
"","273","После отмены оформления заказа пользователь может вернуться на страницу товаров через корзину","tests.web","Tue Jun 23 10:59:50 UTC 2026","passed","Tue Jun 23 10:59:51 UTC 2026","TestCheckout","test_checkout","",""
"","475","Товар, добавленный через детальную страницу, отображается в корзине корректно","tests.web","Tue Jun 23 10:59:38 UTC 2026","passed","Tue Jun 23 10:59:39 UTC 2026","TestCart","test_cart","",""
"","2747","Эмуляция prefers-reduced-motion: анимации отключены/упрощены, контент доступен","tests.mobile","Tue Jun 23 10:57:57 UTC 2026","passed","Tue Jun 23 10:58:00 UTC 2026","TestCrossDevice","test_cross_device","",""
"","912","Меню сворачивается в иконку, раскрывается по тапу","tests.mobile","Tue Jun 23 10:58:53 UTC 2026","passed","Tue Jun 23 10:58:54 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","200","Пользователь не может продолжить оформление заказа, если поле First Name, Last Name, Postal Code не заполнено","tests.web","Tue Jun 23 10:59:47 UTC 2026","passed","Tue Jun 23 10:59:47 UTC 2026","TestCheckout","test_checkout","",""
"","269","Кнопки Add to cart кликабельны на десктопе и мобильном устройстве","tests.mobile","Tue Jun 23 10:59:16 UTC 2026","passed","Tue Jun 23 10:59:17 UTC 2026","TestNavigation","test_navigation_ui","",""
"","353","Пользователь не может войти с невалидными данными","tests.web","Tue Jun 23 10:59:31 UTC 2026","passed","Tue Jun 23 10:59:31 UTC 2026","TestLogin","test_auth","",""
